Acer|N20Q13|CB514- W|Notebook|0.5|1.9|4|14.4|10/20/2021|
LG|14Z95P*|14Z95P*-*|Notebook|1.3|1.3|4.2|17|10/18/2021|
ASUS|TP1400K Series|TP1400K|Notebook|0.4|2.5|3.9|14.6|10/13/2021|
Apple|MacBook Pro 16 inch|A2485|Notebook|0.5|3.9|7.1|24|10/06/2021|
Apple|MacBook Pro 14 inch|A2442 (Z15G)|Notebook|0.3|1.4|4.7|14.9|10/07/2021|
Apple|MacBook Pro 14 inch|A2442 (MKGP3)|Notebook|0.3|1.3|4.2|13.1|10/07/2021|
ELO|Mini PC|EPS00E3|Desktop|1.6|9|10.5|42.8|10/13/2021|
ASUS|D700MCES Series|D700MCES|Desktop|0.7|18.7|20.6|73.5|10/05/2021|
Microsoft|Microsoft Surface Laptop SE|2016|Notebook|0.4|-1|4|12.7|10/12/2021|
Acer|N21Q8|CB515-1W|Notebook|0.3|1.9|4.6|15.3|10/12/2021|
ASUS|PL63 Series|PL63|Desktop|2.4|2.4|5|24.9|10/07/2021|
SiComputer|Productiva K200|K2.*#.##.##|Desktop|0.9|10.1|11.7|43.7|10/13/2021|
SiComputer|Nauta P1502|N5.*#.##.##|Notebook|1.5|1.5|6.5|22.2|10/13/2021|
SiComputer|Nauta P1402|N4.*#.##.##|Notebook|0.9|0.9|3.6|13.4|10/13/2021|
Lenovo|ThinkStation K-C1|12B4|Desktop|2.1|11.1|12|50.6|10/12/2021|
Lenovo|IdeaCentre Gaming5 17IAB7|90T0|Desktop|1.2|18.2|18.8|71.1|10/11/2021|
Lenovo|IdeaCentre 5 14IAB7|90T2|Desktop|1.1|13.5|13.7|53.3|10/11/2021|
HP|HP Z2 G8 Tower Workstation Desktop PC ENERGY STAR|Z2 G8 Tower|Workstation|-1|-1|-1|-1|03/30/2021|
HP|HP Z2 G8 SFF Workstation Desktop PC ENERGY STAR|Z2 G8 SFF|Workstation|-1|-1|-1|-1|04/06/2021|
Lenovo|ThinkCentre neo 50t Gen 3|11SC|Desktop|1.2|11.1|14.6|53.9|11/24/2021|
Acer|N20H4***|TMX40-53G|Notebook|1.2|2.6|6.6|24.8|11/16/2021|
Acer|N20H4***|TMX40-53|Notebook|1.2|2.6|6.6|24.8|11/16/2021|
Acer|N20H4***|TMP414RN-51G|Notebook|1.2|2.6|6.6|24.8|11/16/2021|
Acer|N20H4***|TMP414-51G|Notebook|1.2|2.6|6.6|24.8|11/16/2021|
Acer|N20H4***|TMP414RN-51|Notebook|1.2|2.6|6.6|24.8|11/16/2021|
Acer|N20H4***|Travel Mate SPIN P4|Notebook|1.2|2.6|6.6|24.8|11/16/2021|
Acer|N20H4***|TravelMate P4|Notebook|1.2|2.6|6.6|24.8|11/16/2021|
Fujitsu|TCS6|FUTRO S7011 ESTAR|Thin Client|1.6|6.5|6.9|31.5|10/14/2021|
HP|HP ENVY Desktop PC TE02 ENERGY STAR|TE02|Desktop|1.7|1.7|35|100.5|11/17/2021|
HP|OMEN by HP 25L Gaming Desktop PC GT14 ENERGY STAR|GT14|Desktop|2.1|2.1|38.7|112.5|11/16/2021|
MSPTECH|MSP A21 SERIES|MSPA21H570I-02|Desktop|1.4|32.6|34|124.2|11/11/2021|
Firstsing|M863-EEA|M863-EEA|Slate/Tablet|0.5|0.5|1.9|7.9|11/16/2021|
MSPTECH|MSP A21 SERIES|MSPA21H570I-01|Desktop|1.1|28.8|31.3|112.9|11/04/2021|
MSPTECH|MSP A21 SERIES|MSPA21H470I-01|Desktop|1.1|28.8|31.3|112.9|11/04/2021|
MSPTECH|MSP A21 SERIES|MSPA21B560I-01|Desktop|1.1|28.8|31.3|112.9|11/04/2021|
ASUS|PRO E500 G7 Series|PRO E500 G7|Workstation|-1|-1|-1|-1|11/09/2021|
Acer|D21E3|Predator PO3-640G|Desktop|1.6|31.6|32.9|120.9|11/01/2021|
Lenovo|Legion T5 26IAB7|90SU|Desktop|1.6|20.9|29.5|103.1|11/01/2021|
